id_codigo_depart;id_nivel_esco;anio;num_poblacion;tipo_metrica;tasa
23,;1,;2013,;407589;Desercion;2,18%
23,;1,;2014,;408623;Desercion;1,7%
23,;1,;2015,;409982;Desercion;2,83%
23,;1,;2016,;411715;Desercion;3,4%
23,;1,;2017,;413883;Desercion;3,33%
23,;1,;2018,;386239;Desercion;2,99%
23,;1,;2019,;387454;Desercion;3,95%
23,;1,;2020,;388446;Desercion;3,84%
23,;1,;2021,;388712;Desercion;3,77%
23,;1,;2022,;390847;Desercion;5,26%
23,;1,;2023,;391239;Desercion;5,34%
25,;1,;2011,;570954;Desercion;3,48%
25,;1,;2012,;571082;Desercion;3,24%
25,;1,;2013,;572012;Desercion;3,53%
25,;1,;2014,;573948;Desercion;2,44%
25,;1,;2015,;576429;Desercion;3,52%
25,;1,;2016,;577612;Desercion;4,02%
25,;1,;2017,;579364;Desercion;3,25%
25,;1,;2018,;547875;Desercion;3,59%
25,;1,;2019,;570377;Desercion;3,72%
25,;1,;2020,;592264;Desercion;3,36%
25,;1,;2021,;610367;Desercion;4,44%
25,;1,;2022,;583695;Desercion;4,93%
25,;1,;2023,;598065;Desercion;4,49%
27,;1,;2011,;145587;Desercion;2,89%
27,;1,;2012,;145607;Desercion;1,32%
27,;1,;2013,;145133;Desercion;2,79%
27,;1,;2014,;145299;Desercion;2,96%
27,;1,;2015,;145625;Desercion;4,27%
27,;1,;2016,;145596;Desercion;3,94%
27,;1,;2017,;145765;Desercion;2,99%
27,;1,;2018,;143975;Desercion;3,5%
27,;1,;2019,;143999;Desercion;3,22%
27,;1,;2020,;143711;Desercion;1,64%
27,;1,;2021,;143120;Desercion;3,68%
27,;1,;2022,;147806;Desercion;3,69%
27,;1,;2023,;147698;Desercion;1,8%
41,;1,;2011,;275956;Desercion;4,%
41,;1,;2012,;273653;Desercion;4,59%
41,;1,;2013,;272091;Desercion;4,2%
41,;1,;2014,;270459;Desercion;2,23%
41,;1,;2015,;269323;Desercion;4,49%
41,;1,;2016,;268744;Desercion;4,29%
41,;1,;2017,;268582;Desercion;3,32%
41,;1,;2018,;242238;Desercion;3,38%
41,;1,;2019,;242194;Desercion;3,9%
41,;1,;2020,;242199;Desercion;1,8%
41,;1,;2021,;242129;Desercion;3,67%
41,;1,;2022,;247652;Desercion;3,72%
41,;1,;2023,;248849;Desercion;3,55%
44,;1,;2011,;231046;Desercion;4,2%
44,;1,;2012,;239298;Desercion;4,81%
44,;1,;2013,;244513;Desercion;4,08%
44,;1,;2014,;251458;Desercion;2,26%
44,;1,;2015,;258207;Desercion;1,96%
44,;1,;2016,;264785;Desercion;3,83%
44,;1,;2017,;271221;Desercion;4,11%
44,;1,;2018,;237991;Desercion;3,6%
44,;1,;2019,;245778;Desercion;3,31%
44,;1,;2020,;252101;Desercion;2,35%
44,;1,;2021,;255513;Desercion;1,9%
44,;1,;2022,;262402;Desercion;4,07%
44,;1,;2023,;266038;Desercion;3,23%
47,;1,;2011,;333793;Desercion;2,24%
47,;1,;2012,;334586;Desercion;20,84%
47,;1,;2013,;332266;Desercion;2,03%
47,;1,;2014,;331389;Desercion;1,81%
47,;1,;2015,;330539;Desercion;3,07%
47,;1,;2016,;329234;Desercion;3,59%
47,;1,;2017,;327940;Desercion;3,46%
47,;1,;2018,;317652;Desercion;3,63%
